콘존ID,콘존길이,기점종점방향구분코드,시작노드ID,종료노드ID,차로수,노선번호,제한속도,노선구성순번,콘존명,버스전용차로유무,도로등급구분코드
0170CZS060,2730,S,425,431,3,170,100,10,정남IC-서오산JC,0,109
0170CZS070,1180,S,1034,425,3,170,100,9,화성JC-정남IC,0,109
0170CZS075,2000,S,473,1034,3,170,100,8,봉담TG-화성JC,0,109
0170CZS080,2630,S,424,473,3,170,100,7,봉담IC-봉담TG,0,109
0170CZS110,6300,S,585,424,2,170,100,6,금곡IC-봉담IC,0,109
0170CZS120,1700,S,586,585,3,170,100,5,동안산IC-금곡IC,0,109
0170CZS130,2600,S,587,586,3,170,100,4,남군포IC-동안산IC,0,109
0170CZS140,9400,S,588,587,3,170,100,3,동시흥JC-남군포IC,0,109
0170CZS150,12400,S,589,588,3,170,100,2,남광명JC-동시흥JC,0,109
0170CZS160,4800,S,590,589,2,170,100,1,소하IC-남광명JC,0,109
0171CZE010,6610,E,431,474,3,171,100,1,서오산JC-서오산TG,0,109
0171CZE020,350,E,474,434,3,171,100,2,서오산TG-안녕IC,0,109
0171CZS010,6610,S,474,431,3,171,100,2,서오산TG-서오산JC,0,109
0171CZS020,350,S,434,474,3,171,101,1,안녕IC-서오산TG,0,109
0172CZE010,1900,E,1014,1015,2,172,100,1,행주산성JC-봉대산JC,0,109
0172CZE020,1700,E,1015,1016,3,172,100,2,봉대산JC-흥도IC,0,109
0172CZE030,5600,E,1016,1017,3,172,100,3,흥도IC-고양JC,0,109
0172CZE040,2800,E,1017,1018,3,172,100,4,고양JC-사리현IC,0,109
0172CZE050,5550,E,1018,1019,3,172,100,5,사리현IC-북고양IC,0,109
0172CZE060,3550,E,1019,1020,2,172,100,6,북고양IC-금촌IC,0,109
0172CZE070,5300,E,1020,1021,2,172,100,7,금촌IC-월롱IC,0,109
0172CZE080,3800,E,1021,1022,2,172,100,8,월롱IC-산단IC,0,109
0172CZE090,2700,E,1022,1023,1,172,100,9,산단IC-내포IC,0,109
0172CZS010,1900,S,1015,1014,2,172,100,1,봉대산JC-행주산성JC,0,109
0172CZS020,1700,S,1016,1015,3,172,100,2,흥도IC-봉대산JC,0,109
0172CZS030,5600,S,1017,1016,3,172,100,3,고양JC-흥도IC,0,109
0172CZS040,2800,S,1018,1017,3,172,100,4,사리현IC-고양JC,0,109
0172CZS050,5550,S,1019,1018,3,172,100,5,북고양IC-사리현IC,0,109
0172CZS060,3550,S,1020,1019,2,172,100,6,금촌IC-북고양IC,0,109
0172CZS070,5300,S,1021,1020,2,172,100,7,월롱IC-금촌IC,0,109
0172CZS080,3800,S,1022,1021,2,172,100,8,산단IC-월롱IC,0,109
0172CZS090,2700,S,1023,1022,1,172,100,9,내포IC-산단IC,0,109
0173CZE010,2650,E,1024,1015,2,173,80,1,남고양IC-봉대산JC,0,109
0173CZS010,2650,S,1015,1024,2,173,80,1,봉대산JC-남고양IC,0,109
0200CZE050,20,E,504,18,2,200,100,1,팔공산IC-도동JC,0,101
0200CZE060,17980,E,18,112,2,200,100,2,도동JC-청통와촌IC,0,101
0200CZE070,8510,E,112,1008,2,200,100,3,청통와촌-화산JC,0,101
0200CZE075,2060,E,1008,111,2,200,100,4,화산JC-북영천IC,0,101
0200CZE080,9130,E,111,682,3,200,100,5,북영천IC-임고Hi,0,101
0200CZE085,21660,E,682,110,3,200,100,6,임고Hi-서포항IC,0,101
0200CZE090,9720,E,110,119,2,200,100,7,서포항IC-포항IC,0,101
0200CZS050,20,S,18,504,2,200,100,7,도동JC-팔공산IC,0,101
